"family_id","child_ht"
"F1",72.19999695
"F2",73.19999695
"F3",73.19999695
"F4",73.19999695
"F5",68.19999695
"F6",69.19999695
"F7",69.19999695
"F8",70.19999695
"F9",71.19999695
"F10",71.19999695
"F11",72.19999695
"F12",72.19999695
"F13",72.19999695
"F14",72.19999695
"F15",72.19999695
"F16",72.19999695
"F17",72.19999695
"F18",73.19999695
"F19",73.19999695
"F20",74.19999695
"F21",74.19999695
"F22",74.19999695
"F23",74.19999695
"F24",65.19999695
"F25",66.19999695
"F26",66.19999695
"F27",66.19999695
"F28",67.19999695
"F29",67.19999695
"F30",67.19999695
"F31",67.19999695
"F32",68.19999695
"F33",68.19999695
"F34",68.19999695
"F35",69.19999695
"F36",69.19999695
"F37",69.19999695
"F38",69.19999695
"F39",69.19999695
"F40",70.19999695
"F41",70.19999695
"F42",70.19999695
"F43",70.19999695
"F44",70.19999695
"F45",70.19999695
"F46",70.19999695
"F47",70.19999695
"F48",70.19999695
"F49",70.19999695
"F50",71.19999695
"F51",71.19999695
"F52",71.19999695
"F53",71.19999695
"F54",72.19999695
"F55",72.19999695
"F56",72.19999695
"F57",72.19999695
"F58",72.19999695
"F59",72.19999695
"F60",72.19999695
"F61",72.19999695
"F62",72.19999695
"F63",73.19999695
"F64",73.19999695
"F65",74.19999695
"F66",74.19999695
"F67",61.20000076
"F68",63.20000076
"F69",65.19999695
"F70",66.19999695
"F71",67.19999695
"F72",67.19999695
"F73",67.19999695
"F74",68.19999695
"F75",68.19999695
"F76",68.19999695
"F77",68.19999695
"F78",68.19999695
"F79",68.19999695
"F80",68.19999695
"F81",68.19999695
"F82",68.19999695
"F83",68.19999695
"F84",68.19999695
"F85",68.19999695
"F86",69.19999695
"F87",69.19999695
"F88",69.19999695
"F89",69.19999695
"F90",69.19999695
"F91",69.19999695
"F92",69.19999695
"F93",69.19999695
"F94",69.19999695
"F95",69.19999695
"F96",69.19999695
"F97",69.19999695
"F98",69.19999695
"F99",69.19999695
"F100",69.19999695
"F101",69.19999695
"F102",69.19999695
"F103",69.19999695
"F104",70.19999695
"F105",70.19999695
"F106",70.19999695
"F107",70.19999695
"F108",70.19999695
"F109",70.19999695
"F110",70.19999695
"F111",70.19999695
"F112",70.19999695
"F113",70.19999695
"F114",70.19999695
"F115",70.19999695
"F116",70.19999695
"F117",70.19999695
"F118",71.19999695
"F119",71.19999695
"F120",71.19999695
"F121",71.19999695
"F122",71.19999695
"F123",71.19999695
"F124",71.19999695
"F125",72.19999695
"F126",72.19999695
"F127",72.19999695
"F128",72.19999695
"F129",73.19999695
"F130",73.19999695
"F131",73.19999695
"F132",74.19999695
"F133",74.19999695
"F134",74.19999695
"F135",63.20000076
"F136",64.19999695
"F137",64.19999695
"F138",64.19999695
"F139",64.19999695
"F140",64.19999695
"F141",64.19999695
"F142",64.19999695
"F143",64.19999695
"F144",64.19999695
"F145",64.19999695
"F146",64.19999695
"F147",64.19999695
"F148",64.19999695
"F149",64.19999695
"F150",64.19999695
"F151",64.19999695
"F152",65.19999695
"F153",65.19999695
"F154",65.19999695
"F155",65.19999695
"F156",66.19999695
"F157",66.19999695
"F158",66.19999695
"F159",66.19999695
"F160",66.19999695
"F161",66.19999695
"F162",66.19999695
"F163",66.19999695
"F164",66.19999695
"F165",66.19999695
"F166",66.19999695
"F167",66.19999695
"F168",66.19999695
"F169",66.19999695
"F170",66.19999695
"F171",66.19999695
"F172",66.19999695
"F173",67.19999695
"F174",67.19999695
"F175",67.19999695
"F176",67.19999695
"F177",67.19999695
"F178",67.19999695
"F179",67.19999695
"F180",67.19999695
"F181",67.19999695
"F182",67.19999695
"F183",67.19999695
"F184",67.19999695
"F185",67.19999695
"F186",67.19999695
"F187",67.19999695
"F188",67.19999695
"F189",67.19999695
"F190",67.19999695
"F191",67.19999695
"F192",67.19999695
"F193",67.19999695
"F194",67.19999695
"F195",67.19999695
"F196",67.19999695
"F197",67.19999695
"F198",67.19999695
"F199",67.19999695
"F200",68.19999695
"F201",68.19999695
"F202",68.19999695
"F203",68.19999695
"F204",68.19999695
"F205",68.19999695
"F206",68.19999695
"F207",68.19999695
"F208",68.19999695
"F209",68.19999695
"F210",68.19999695
"F211",68.19999695
"F212",68.19999695
"F213",68.19999695
"F214",68.19999695
"F215",68.19999695
"F216",68.19999695
"F217",68.19999695
"F218",68.19999695
"F219",68.19999695
"F220",69.19999695
"F221",69.19999695
"F222",69.19999695
"F223",69.19999695
"F224",69.19999695
"F225",69.19999695
"F226",69.19999695
"F227",69.19999695
"F228",69.19999695
"F229",69.19999695
"F230",69.19999695
"F231",69.19999695
"F232",69.19999695
"F233",69.19999695
"F234",69.19999695
"F235",69.19999695
"F236",69.19999695
"F237",69.19999695
"F238",69.19999695
"F239",69.19999695
"F240",69.19999695
